Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
CPCT02050213T	421	0.987	108.817	25.847%	17.636	15.982%	0.08735	0.985
CPCT02020568T	341	0.988	98.041	28.751%	16.899	16.017%	0.11476	0.987
CPCT02030364T	301	0.977	94.515	31.4%	14.66	21.26%	0.14597	0.971
CPCT02050192T	331	0.988	107.407	32.449%	21.114	20.081%	0.13483	0.988
CPCT02010596T	221	0.969	89.526	40.51%	14.344	24.669%	0.22976	0.962
CPCT02030365T	210	0.976	61.389	29.233%	12.073	21.74%	0.18168	0.971
DRUP01010036T	451	0.98	134.006	29.713%	21.683	20.008%	0.11994	0.975
CPCT02230043T	745	0.995	159.341	21.388%	28.232	11.62%	0.06541	0.994
CPCT02080135T	1199	0.989	256.265	21.373%	44.753	16.104%	0.05561	0.987
CPCT02050229T	220	0.976	83.521	37.964%	15.26	21.827%	0.23802	0.973
CPCT02010632T	197	0.969	76.137	38.648%	11.799	24.88%	0.23063	0.96
CPCT02020579T	303	0.987	86.788	28.643%	13.363	17.184%	0.12474	0.985
CPCT02020587T	1094	0.952	373.906	34.178%	76.471	32.024%	0.10815	0.939
CPCT02070040T	1665	0.998	276.721	16.62%	53.059	7.975%	0.04523	0.998
CPCT02070050T	1508	0.999	177.261	11.755%	32.6	5.039%	0.02816	0.999
CPCT02300004T	440	0.992	99.837	22.69%	16.506	12.775%	0.09155	0.991
CPCT02020424T	189	0.932	91.987	48.67%	14.793	36.879%	0.25996	0.907
CPCT02020433T	206	0.903	100.817	48.94%	17.723	46.225%	0.23868	0.857
CPCT02010466T	212	0.939	95.819	45.198%	15.281	37.238%	0.19815	0.916
CPCT02010454T	179	0.934	90.271	50.431%	14.398	38.942%	0.29271	0.912
CPCT02140036T	906	0.994	192.37	21.233%	36.708	10.674%	0.0819	0.994
CPCT02010350T	261	0.988	80.864	30.982%	13.739	15.709%	0.15246	0.986
CPCT02100039T	2247	0.999	248.001	11.037%	37.845	4.635%	0.03048	0.999
CPCT02050106T	1239	0.995	233.982	18.885%	38.005	10.411%	0.04542	0.994
CPCT02020415T	205	0.982	81.425	39.72%	12.106	19.438%	0.2384	0.979
CPCT02180014T	607	0.996	117.014	19.277%	19.387	9.29%	0.0666	0.995
CPCT02090006T	265	0.968	88.397	33.357%	15.054	25.341%	0.13791	0.959
CPCT02020444T	838	0.95	294.813	35.181%	52.216	31.188%	0.10705	0.929
CPCT02030314T	231	0.949	81.381	35.23%	15.097	31.666%	0.17404	0.928
CPCT02190010T	364	0.993	91.009	25.002%	13.788	12.151%	0.1158	0.993
DRUP01010013T	354	0.991	98.976	27.959%	17.045	15.085%	0.10832	0.99
CPCT02080086T	3772	0.998	302.143	8.01%	55.463	5.641%	0.01142	0.998
CPCT02010438T	179	0.908	91.391	51.056%	14.901	42.265%	0.27008	0.864
CPCT02190012T	955	0.991	192.935	20.203%	35.001	14.142%	0.05437	0.989
CPCT02010486T	237	0.974	87.796	37.045%	15.003	24.258%	0.1809	0.969
CPCT02060077T	530	0.989	150.347	28.367%	26.407	17.595%	0.0896	0.987
CPCT02020491T	7002	0.992	871.353	12.444%	233.403	13.126%	0.01663	0.99
CPCT02010538T	263	0.953	94.239	35.832%	17.536	31.18%	0.15294	0.937
CPCT02170001T	536	0.994	127.686	23.822%	18.706	10.69%	0.10055	0.994
CPCT02170002T	355	0.992	80.964	22.807%	13.361	12.374%	0.08975	0.991
CPCT02050142T	390	0.988	116.39	29.844%	18.662	16.464%	0.12223	0.986
CPCT02080071T	2155	0.998	349.663	16.226%	71.171	8.983%	0.03272	0.998
CPCT02020499T	368	0.992	105.271	28.606%	17.124	14.649%	0.12113	0.991
CPCT02340008T	575	0.998	104.187	18.119%	15.518	6.359%	0.0634	0.998
CPCT02020505T	796	0.943	306.528	38.509%	54.135	33.532%	0.12614	0.919
CPCT02080158T	513	0.977	158.26	30.85%	25.89	22.731%	0.12367	0.97
CPCT02010571T	357	0.977	132.82	37.204%	21.623	21.826%	0.16903	0.974
CPCT02380010T	1340	0.999	207.991	15.522%	30.883	5.204%	0.04558	0.999
CPCT02110047T	2504	0.999	370.673	14.803%	73.859	6.24%	0.03228	0.999
CPCT02030425T	1068	0.996	178.681	16.73%	28.114	8.937%	0.04889	0.995
CPCT02080168T	218	0.96	82.086	37.654%	13.208	28.275%	0.18224	0.945
CPCT02020641T	338	0.989	82.104	24.291%	12.638	15.618%	0.08796	0.986
CPCT02230065T	442	0.978	136.558	30.895%	22.477	21.452%	0.11196	0.973
