MutationType	CPCT02070011T	CPCT02020317T	CPCT02010352T	CPCT02010362T	CPCT02010366T	CPCT02010383T	CPCT02050049T	CPCT02020350T	CPCT02060023T	CPCT02080030T	CPCT02060010T	CPCT02040037T	CPCT02070018T	CPCT02080041T	CPCT02070029T	CPCT02060033T	CPCT02020399T	CPCT02140024T	CPCT02080050T	CPCT02030293T	CPCT02010441T	CPCT02090030T	CPCT02010718T	CPCT02020653T	CPCT02340008TII	CPCT02020876T	CPCT02370016T	CPCT02070275T	CPCT02011028T	CPCT02230072T	CPCT02130028T	CPCT02060182T	CPCT02020657T	DRUP01090026T	CPCT02130029T	CPCT02340010TII	DRUP01020022T	CPCT02120103T	CPCT02300030T	CPCT02150044T	CPCT02020920T	CPCT02080192T	CPCT02130170T	CPCT02260014T	CPCT02020922T	CPCT02011072T	CPCT02010758T	WIDE01010006T	CPCT02040220T	CPCT02100157T	CPCT02230088T	CPCT02130178T	WIDE01010017T	WIDE01010025T	WIDE01010028T	WIDE01010012T	WIDE01010031T	CPCT02020956T	CPCT02010774T	CPCT02010756T	WIDE01010045T	CPCT02080204T	WIDE01010037T	WIDE01010056T	CPCT02070298T	WIDE01010594T	WIDE01010078T	CPCT02130054T	CPCT02040228T	WIDE01010051T	CPCT02050319T	CPCT02020689T	WIDE01010043T	WIDE01010112T	WIDE01010092T	WIDE01010119T	CPCT02170022T	WIDE01010120T	WIDE01010127T	CPCT02300036T	WIDE01010146T	CPCT02070309T	WIDE01010157T	WIDE01010170T	CPCT02020696T	CPCT02030471T	CPCT02130032T	CPCT02070310T	WIDE01010164T	WIDE01010190T	WIDE01010182T	DRUP01050040TII	WIDE01010225T	CPCT02050348T	WIDE01010275T	CPCT02010810T	CPCT02060206T	WIDE01010284T	WIDE01010330T	WIDE01010312T	WIDE01010317T	WIDE01010337T	CPCT02220043T	CPCT02130094T	WIDE01010329T	WIDE01010331T	CPCT02010828T	WIDE01010101T	WIDE01010349T	WIDE01010342T	WIDE01010359T	WIDE01010370T	WIDE01010369T	CPCT02340084T	DRUP01030015T	CPCT02060236T	CPCT02120125T	CPCT02230098T	DRUP01090015T	WIDE01010401T	CPCT02230105T	CPCT02080223T	CPCT02020730T	CPCT02010831T	WIDE01010428T	CPCT02290039T	CPCT02010843T	CPCT02130103T	CPCT02070337T	WIDE01010440T	WIDE01010404T	CPCT02080229T	CPCT02050363T	CPCT02040250T	CPCT02040251T	CPCT02260022T	CPCT02340090T	CPCT02450013T	CPCT02070347T	CPCT02060140T	CPCT02020720T	CPCT02230109T	DRUP01090019T	CPCT02120144T	CPCT02080240T	CPCT02130125T	CPCT02070355T	CPCT02010872T	CPCT02010878T	CPCT02090054T	CPCT02330117T	CPCT02170031T	CPCT02020765T	CPCT02010851T	CPCT02020756T	DRUP01170001T	WIDE01010617T	WIDE01010627T	CPCT02030502T	CPCT02030507T	WIDE01010595T	CPCT02040273T	CPCT02030520T	CPCT02110075T	CPCT02290050T	CPCT02290053T	CPCT02080257T	CPCT02290054T	CPCT02080256T	CPCT02030497T	DRUP01290001T	CPCT02070372T	CPCT02290051T	CPCT02020815T	CPCT02040271T	CPCT02130154T	CPCT02120164T	CPCT02020797T	DRUP01010099T	CPCT02340104T	CPCT02380018T	CPCT02340010TIII	CPCT02060033TII	CPCT02020582T	DRUP01050040T	CPCT02180041T	CPCT02060137T	CPCT02070403T	CPCT02050264T	CPCT02060143T	CPCT02010988T	CPCT02010993T	CPCT02450003T	CPCT02230049T	CPCT02010995T	CPCT02010878TII	CPCT02010656T	CPCT02010645T	DRUP01330016T	DRUP01080005T	CPCT02020879T	DRUP01090004T	CPCT02020613T	DRUP01110006T	CPCT02010993TII	CPCT02060125T	CPCT02010647T	CPCT02170013T	CPCT02170009T	CPCT02170012T	CPCT02020608T	CPCT02010653T	CPCT02230061T	CPCT02050282T	CPCT02010560T	CPCT02380007T	CPCT02380006T	CPCT02080105T	CPCT02340010T	CPCT02010574T	CPCT02180026T	CPCT02100074T	CPCT02120018T	CPCT02380008T	CPCT02170003T	CPCT02020523T	CPCT02060081T	CPCT02110035T	CPCT02080118T	CPCT02010589T	CPCT02030349T	CPCT02110039T	CPCT02030353T	CPCT02020540T	CPCT02010611T	CPCT02010608T	CPCT02330041T	CPCT02380013T	CPCT02010613T	CPCT02010577T	CPCT02050202T	CPCT02020559T	CPCT02050213T	CPCT02020568T	CPCT02030364T	CPCT02050192T	CPCT02010596T	CPCT02030365T	DRUP01010036T	CPCT02230043T	CPCT02080135T	CPCT02050229T	CPCT02010632T	CPCT02020579T	CPCT02020587T	CPCT02070040T	CPCT02070050T	CPCT02300004T	CPCT02020424T	CPCT02020433T	CPCT02010466T	CPCT02010454T	CPCT02140036T	CPCT02010350T	CPCT02100039T	CPCT02050106T	CPCT02020415T	CPCT02180014T	CPCT02090006T	CPCT02020444T	CPCT02030314T	CPCT02190010T	DRUP01010013T	CPCT02080086T	CPCT02010438T	CPCT02190012T	CPCT02010486T	CPCT02060077T	CPCT02020491T	CPCT02010538T	CPCT02170001T	CPCT02170002T	CPCT02050142T	CPCT02080071T	CPCT02020499T	CPCT02340008T	CPCT02020505T	CPCT02080158T	CPCT02010571T	CPCT02380010T	CPCT02110047T	CPCT02030425T	CPCT02080168T	CPCT02020641T	CPCT02230065T	CPCT02330074T	CPCT02010697T	CPCT02090028T	CPCT02450008T	CPCT02010688T	CPCT02020646T	CPCT02010704T	CPCT02010705T	CPCT02250003T	CPCT02010698T	WIDE01010622T	WIDE01010631T	WIDE01010635T	WIDE01010636T	WIDE01010658T	WIDE01010504T	WIDE01010493T	WIDE01010304T	WIDE01010568T	WIDE01010464T	WIDE01010467T	WIDE01010486T	WIDE01010516T	WIDE01010510T	WIDE01010583T	WIDE01010566T	WIDE01010578T	WIDE01010599T	WIDE01010604T	WIDE01010614T	WIDE01010662T	WIDE01010672T	WIDE01010686T	WIDE01010532T	WIDE01010703T	WIDE01010712T	WIDE01010721T	WIDE01010663T
G[Del(T):R(5,7)]C	3	0	0	1	0	0	0	3	0	2	5	2	2	1	5	5	18	46	0	0	975	4	1	0	1	1	0	1	4	342	4	1	1	1	2	2	0	1	1	0	0	2	9	19	0	1	0	0	0	3	18	2	2	0	4	4	4	0	1	1	0	0	12	2	3	2	1	1	1	2	0	0	0	5	1	4	1	0	7	5	1	1	15	2	0	0	2	14	2	1	2	3	5	1	0	1	2	2	1	6	8	2	9	3	12	0	7	7	0	2	0	4	1	4	5	2	3	30	0	2	0	3	2	3	2	20	0	1	2	2	3	1	3	2	1	8	2	1	3	2	0	11	3	0	2	2	0	0	3	19	6	5	3	0	1	0	4	0	2	1	6	2	2	12	3	0	0	1	1	6	19	0	2	11	0	1	4	1	1	0	5	2	3	0	3	3	2	0	3	11	1	2	3	4	2	3	0	0	14	7	3	1	2	0	2	0	4	13	0	1	0	1	4	6	1	2	7	6	2	1	5	0	0	0	2	2	1	2	0	0	638	1	9	6	0	0	7	1	0	0	0	5	1	0	0	0	0	0	0	3	5	0	0	1	2	8	10	2	0	0	0	0	2	1	10	6	2	3	0	1	1	2	0	6	2	1	0	6	6	3	1	1	1	6	0	0	5	1	2	8	19	5	1	0	0	8	1	14	2	0	2	0	0	1	2	5	5	2	5	4	2	1	0	2	5	1	1	8	4	2	7	303	2	5	3	3	2	0	7	0	2	1	0
G[Del(T):R(5,7)]G	2	0	0	1	0	1	0	1	3	9	7	6	2	3	6	2	15	72	2	2	1115	4	1	2	1	1	4	1	5	361	0	0	1	2	1	8	0	0	7	4	0	2	4	16	0	0	1	0	1	4	24	2	0	1	6	7	6	0	2	0	1	0	9	1	5	3	2	2	2	2	1	2	1	6	2	1	1	0	9	1	1	1	9	1	1	0	1	5	4	1	15	4	4	4	0	1	14	1	0	12	3	3	12	4	12	2	2	11	1	1	0	0	0	2	0	1	1	24	0	2	0	3	4	18	0	14	2	3	1	2	3	2	3	0	0	11	2	1	2	0	0	3	5	2	4	0	0	0	0	15	3	7	0	1	3	1	5	1	1	5	1	2	3	18	4	0	0	0	2	10	15	1	0	19	0	1	9	1	4	1	6	6	2	0	4	2	1	1	1	14	1	2	0	1	3	0	0	1	7	14	0	1	3	2	2	3	7	23	1	0	0	1	5	5	1	1	6	9	7	1	8	0	2	2	0	1	0	1	2	0	693	3	7	7	0	3	13	0	0	1	2	5	0	1	0	2	0	0	1	6	3	1	1	2	4	8	8	2	4	0	1	2	3	1	12	2	1	2	1	2	1	2	1	14	0	5	0	1	17	2	1	2	0	9	0	0	3	1	2	1	15	5	0	1	1	6	0	6	5	0	0	2	2	4	0	5	5	3	7	2	4	1	1	0	1	2	0	5	3	1	6	354	2	2	5	7	1	0	3	1	0	3	2
A[Del(T):R(8,)]A	12	0	0	0	1	1	1	0	6	8	23	18	3	1	58	12	89	382	1	0	6570	36	7	0	2	1	5	2	22	2428	19	2	0	0	1	25	0	5	7	2	3	2	10	105	0	1	2	0	1	24	29	2	8	0	15	10	63	1	0	0	0	0	96	29	21	0	0	3	1	2	3	0	3	30	0	10	1	0	39	7	0	2	8	9	0	0	0	72	13	2	37	100	11	1	7	1	12	3	1	13	19	5	56	8	30	1	12	8	0	1	1	1	1	16	6	0	8	189	0	4	0	2	0	38	0	144	3	6	7	1	27	3	4	6	2	38	11	2	5	0	0	58	32	2	3	3	2	2	4	80	25	46	1	0	1	8	22	0	0	21	5	1	4	92	12	0	6	1	2	11	145	0	1	12	2	1	24	0	19	0	24	25	11	0	76	7	1	0	13	39	3	9	2	2	5	4	0	0	45	9	1	3	0	18	9	5	2	119	1	7	0	0	43	33	2	0	10	16	28	4	42	2	4	1	0	3	16	0	2	0	4187	6	35	12	0	1	79	1	0	0	7	14	0	2	0	0	0	0	2	18	12	0	0	2	0	72	50	4	0	0	3	2	18	2	56	31	1	7	1	0	1	8	1	6	0	4	1	3	16	0	4	5	1	57	1	7	1	1	0	53	126	13	0	0	4	44	1	82	19	1	0	1	1	2	1	7	15	18	9	4	1	0	0	0	6	0	3	28	29	1	63	1819	13	8	59	4	13	0	31	0	5	6	1
A[Del(T):R(8,)]C	5	1	0	2	0	1	1	1	8	3	18	16	3	2	38	7	70	199	0	6	4054	33	7	1	4	5	1	7	31	1373	11	2	1	2	0	31	3	2	7	0	1	1	13	72	1	1	0	0	2	26	15	2	11	0	18	4	48	0	1	0	2	1	55	14	13	0	0	6	1	1	1	2	2	28	0	11	0	1	35	7	0	0	11	5	1	2	0	38	1	1	31	62	14	6	2	1	7	3	0	12	23	4	40	10	22	0	3	11	0	3	0	0	0	8	9	0	3	135	0	3	1	3	1	17	2	114	3	4	7	0	24	3	6	4	2	42	9	4	11	1	0	29	36	1	4	2	0	0	4	64	23	31	0	0	1	5	12	1	4	22	8	0	5	69	17	1	5	0	2	9	113	1	1	14	0	0	19	1	13	0	12	29	7	0	44	12	0	0	9	44	0	6	2	2	5	4	0	0	46	7	5	1	3	13	6	7	3	72	1	9	0	1	28	24	0	1	9	17	28	1	40	0	3	1	2	7	6	2	0	0	2582	7	22	9	0	2	68	0	1	0	2	8	1	2	0	0	1	0	0	13	17	0	0	1	3	42	26	2	0	0	0	0	14	0	50	27	1	8	1	1	2	6	1	6	1	4	1	4	21	2	0	5	1	51	1	10	6	1	1	44	98	9	0	0	4	46	3	37	18	0	1	3	2	3	2	7	16	16	11	1	3	2	1	1	6	2	0	20	19	2	49	1141	14	13	32	2	13	0	21	3	2	5	8
A[Del(T):R(8,)]G	5	2	0	0	0	0	0	0	2	2	14	10	4	1	23	5	43	220	2	4	4168	10	3	0	2	0	1	4	13	1194	5	1	0	0	0	17	0	1	8	0	0	0	6	58	0	1	0	0	0	11	8	1	2	0	9	2	21	0	1	0	1	0	42	7	11	2	2	2	0	0	0	0	1	21	1	3	0	0	21	4	0	0	5	5	0	0	0	26	1	1	21	44	3	2	1	0	8	0	0	7	14	3	20	5	11	1	6	1	0	2	0	0	1	5	2	0	8	140	0	1	0	2	0	11	0	63	1	0	3	0	9	2	6	0	2	10	6	1	3	0	0	18	7	0	3	3	1	0	2	31	6	23	1	0	0	6	13	0	0	4	6	1	3	49	5	0	3	2	3	4	63	0	0	7	1	0	10	0	10	1	11	21	5	0	34	3	0	0	9	25	1	2	4	1	0	2	0	0	25	2	4	1	0	5	2	5	0	51	0	3	0	0	17	14	0	0	6	5	20	0	24	1	3	0	0	3	10	0	0	0	2523	6	20	11	0	1	44	1	0	0	0	6	1	0	0	0	0	0	0	9	14	0	1	2	1	36	23	1	0	0	1	0	7	0	34	13	0	4	0	1	1	5	1	3	1	2	0	0	15	0	1	2	1	22	1	3	3	0	1	19	53	3	0	0	0	30	3	29	7	0	0	1	0	1	1	2	12	11	5	0	1	0	0	1	4	0	0	13	13	2	32	1073	2	5	22	7	6	1	10	0	0	2	3
C[Del(T):R(8,)]A	8	1	0	1	0	0	0	0	3	6	13	18	4	1	29	7	28	369	0	3	4638	17	4	3	3	0	2	1	17	1892	16	0	0	0	0	23	0	4	3	0	0	2	8	74	1	2	0	0	2	14	11	1	3	1	13	2	43	0	0	2	0	0	49	18	14	1	0	6	0	2	0	1	1	12	1	7	1	0	25	4	0	0	7	2	0	0	1	43	3	0	32	59	4	3	3	0	6	1	0	10	20	6	31	4	26	2	6	5	0	2	0	2	0	5	3	0	3	139	0	0	1	0	0	13	1	93	6	2	4	0	11	3	2	2	2	27	5	2	8	0	0	30	17	0	2	3	0	0	1	59	23	17	0	0	0	7	9	1	0	6	10	0	3	42	12	0	0	0	2	7	93	0	1	7	2	0	18	1	21	0	12	22	6	1	31	2	0	0	8	31	1	3	3	1	0	2	0	0	28	2	3	3	1	9	2	8	5	71	1	2	0	0	24	13	0	2	9	14	23	1	37	0	0	0	0	2	13	0	1	0	3937	6	23	12	0	0	52	0	0	0	0	6	3	0	1	0	0	0	2	4	11	0	0	3	2	38	34	5	0	1	2	1	26	0	46	8	0	1	0	0	0	5	2	1	0	4	1	3	19	0	2	5	1	29	0	2	2	0	0	24	72	7	0	0	5	26	2	56	13	0	0	3	0	3	0	5	12	12	7	1	0	2	0	1	4	0	2	24	16	0	43	1334	7	8	43	2	9	0	14	0	2	1	4
C[Del(T):R(8,)]C	3	0	0	1	0	1	0	0	4	5	7	15	2	0	26	3	57	311	0	1	4708	32	9	2	2	2	3	2	51	1895	8	0	0	0	0	11	0	1	2	1	1	1	5	69	0	0	0	0	0	18	11	1	5	0	10	4	39	1	0	0	0	0	48	13	14	2	0	2	0	0	1	0	1	13	1	5	0	0	16	5	0	0	9	3	1	0	2	33	5	0	25	43	6	2	3	1	7	1	0	13	19	5	23	5	16	0	2	10	0	0	1	0	1	7	6	1	7	159	1	5	0	2	1	9	3	110	2	3	3	1	9	0	7	2	2	30	11	2	10	0	0	25	27	0	5	2	3	0	1	50	28	19	0	1	0	7	10	0	2	27	6	0	3	62	11	1	0	2	0	6	110	0	1	14	0	0	12	0	5	0	8	13	3	0	26	5	0	0	4	36	0	4	4	1	1	1	0	0	39	9	4	0	4	5	6	2	2	70	0	4	0	0	21	13	1	2	10	14	13	2	32	1	0	0	1	11	10	0	1	0	3387	3	15	7	0	2	52	3	2	0	2	6	0	0	0	1	0	0	0	12	12	0	1	1	0	45	27	0	0	0	0	1	16	0	37	17	0	3	1	1	0	2	2	7	0	3	1	4	15	1	1	1	1	47	0	7	2	1	0	22	65	4	0	0	0	45	0	22	8	0	1	0	1	0	1	7	16	13	6	2	0	1	1	0	13	0	0	20	17	2	29	1471	5	8	26	4	19	0	19	0	5	4	4
C[Del(T):R(8,)]G	3	0	0	0	0	0	0	0	1	2	13	9	3	0	15	6	44	359	0	1	5328	13	3	0	0	0	2	3	14	1649	13	0	0	0	1	15	1	1	3	1	0	1	2	47	0	1	0	0	0	13	8	0	1	0	14	2	30	0	0	0	0	0	25	13	17	0	0	2	0	2	0	0	1	3	2	5	0	0	19	1	1	0	4	5	0	0	0	22	2	0	6	33	3	2	0	1	6	0	1	5	16	2	28	3	7	1	1	4	0	0	0	0	1	5	2	1	2	205	0	2	1	2	0	6	0	79	4	2	3	0	9	0	3	3	1	15	5	1	4	0	0	22	13	1	2	2	0	1	0	32	8	21	0	0	0	2	8	0	1	11	5	0	3	42	6	0	3	0	2	2	79	0	1	4	0	2	6	0	8	0	5	15	4	0	30	9	0	0	6	19	0	3	3	0	1	0	0	1	26	2	4	0	1	4	3	3	2	59	0	5	0	1	12	7	0	0	2	12	15	1	25	1	1	0	1	2	8	0	1	0	3922	3	14	4	0	0	24	0	0	0	0	2	0	1	1	0	0	2	0	2	5	0	0	1	0	29	14	1	0	0	0	0	9	0	24	7	0	3	0	1	0	4	1	2	0	2	0	3	10	0	0	2	0	22	0	3	2	0	0	19	56	6	1	0	0	27	0	19	12	0	0	0	0	1	3	2	9	11	6	0	0	0	0	1	2	0	0	12	15	0	39	1548	5	2	10	1	9	2	13	0	0	2	1
G[Del(T):R(8,)]A	3	0	0	0	0	0	1	0	0	0	9	7	0	0	19	4	21	150	3	0	3006	8	3	0	1	0	0	1	14	1096	7	0	0	0	0	12	0	1	1	0	2	0	2	35	0	1	0	0	0	7	11	0	3	1	7	5	29	0	0	0	1	0	23	9	8	0	0	3	0	0	0	0	1	4	0	7	0	0	9	3	0	0	2	3	0	0	0	25	2	0	12	13	1	0	4	0	4	0	0	4	8	1	15	3	9	0	1	2	0	0	0	0	0	2	3	0	3	92	0	2	1	0	0	13	3	47	1	3	0	0	6	1	3	1	1	11	7	2	5	0	1	20	14	0	2	0	0	0	1	28	15	9	0	0	0	6	6	0	1	8	3	0	4	17	8	1	2	2	2	2	46	0	0	3	0	0	6	0	7	1	9	12	4	0	8	2	0	0	1	17	0	5	1	2	1	1	0	0	21	4	4	1	0	6	5	3	3	39	0	2	0	0	13	9	0	0	3	4	13	1	26	0	2	0	0	2	5	1	0	1	1983	0	8	3	0	1	32	0	0	0	0	1	0	0	0	1	0	0	0	3	9	0	0	1	0	20	14	2	0	0	0	0	12	0	23	4	0	3	1	0	0	2	0	2	1	2	0	1	13	0	1	1	2	18	1	3	0	0	0	12	35	1	0	0	0	21	1	19	4	0	0	0	0	0	0	1	8	7	3	1	0	2	0	0	0	1	1	8	8	0	21	980	3	2	24	2	6	0	10	0	2	3	2
G[Del(T):R(8,)]C	2	1	0	2	0	1	1	0	1	4	4	5	4	0	13	3	30	124	0	1	2097	12	1	2	0	1	0	0	19	822	5	0	0	0	0	11	0	0	2	1	0	0	3	35	0	0	0	0	0	15	8	0	0	0	12	2	12	1	0	2	0	1	19	8	7	1	1	0	2	1	0	0	1	12	0	6	0	0	8	4	0	0	7	1	0	1	0	14	1	2	13	24	0	3	2	1	2	0	1	7	7	1	13	3	11	0	1	1	0	0	0	0	0	4	1	0	2	80	0	4	0	0	0	11	0	42	1	4	0	0	9	0	9	4	5	10	6	2	4	1	1	12	15	0	1	0	0	0	0	25	11	10	0	1	0	1	6	0	0	14	2	0	3	28	4	0	0	1	2	2	41	1	0	2	2	0	9	0	4	0	6	12	3	0	9	5	0	0	4	17	0	1	4	0	4	0	0	1	28	5	3	0	0	3	1	5	1	32	5	0	0	0	9	9	0	0	0	8	12	0	12	2	0	0	0	1	4	0	2	0	1436	4	12	5	0	2	15	1	0	1	0	1	0	0	0	1	0	0	1	6	6	0	0	1	0	27	10	1	0	1	1	0	4	1	15	4	0	2	1	0	0	3	1	4	0	0	0	0	10	0	0	1	0	19	0	1	2	2	0	16	50	2	0	1	1	26	1	14	3	0	0	0	0	0	0	3	5	7	3	1	0	1	0	1	2	1	1	6	6	0	22	739	5	3	16	1	6	0	8	0	2	2	2
G[Del(T):R(8,)]G	2	1	0	0	0	0	0	0	0	2	6	6	1	0	9	4	21	152	0	1	2271	8	2	1	0	0	0	1	9	862	2	0	0	0	0	10	0	1	1	0	0	0	2	20	0	0	0	0	1	5	1	0	0	1	9	1	16	0	0	0	1	0	17	3	7	0	0	1	1	0	0	1	1	3	1	2	0	0	4	3	1	1	2	2	0	1	0	14	3	0	11	18	2	0	2	1	0	1	0	6	9	1	6	2	8	2	3	4	0	1	0	0	2	2	1	1	2	97	0	2	0	1	0	7	1	29	0	3	0	0	5	2	1	0	3	10	3	0	0	1	0	9	3	0	1	4	0	0	3	27	12	6	0	1	0	2	3	1	1	11	0	1	0	18	2	0	0	0	4	1	30	0	0	3	0	0	9	0	4	0	2	6	4	0	9	2	0	0	6	9	0	2	1	1	0	3	0	0	11	4	1	2	1	7	2	3	0	36	0	4	0	0	15	7	0	0	2	6	7	0	6	0	2	1	1	0	3	0	0	0	1612	1	7	2	0	1	17	1	1	1	0	2	0	0	0	0	0	0	0	3	7	0	0	1	0	18	11	1	0	0	0	0	11	2	24	2	1	1	0	0	1	2	1	4	0	1	0	2	6	0	1	2	0	12	0	2	1	1	0	9	36	1	0	0	1	15	0	12	4	0	0	0	0	1	0	0	7	7	2	0	0	0	0	1	4	0	0	8	6	0	14	803	7	1	11	1	7	0	7	0	4	1	1
A[Ins(C):R0]A	0	0	0	1	0	0	1	0	3	6	2	277	1	1	4	3	11	5	0	2	23	2	5	0	1	0	1	0	4	75	2	0	1	0	1	3	0	1	1	0	3	3	2	45	1	0	1	0	2	0	5	1	1	1	0	2	120	0	0	1	2	0	15	2	2	1	1	0	1	1	0	2	1	2	0	4	0	0	9	1	0	0	5	1	0	1	1	147	11	0	10	3	0	2	0	1	4	0	0	6	14	2	46	5	3	1	0	7	2	2	0	1	1	4	0	1	0	2	1	0	0	1	0	13	0	12	0	0	4	0	2	0	2	0	0	6	4	0	3	1	0	16	2	1	1	0	0	0	0	69	2	9	2	0	1	0	4	0	2	0	0	4	1	7	1	0	0	1	0	11	14	0	0	3	2	0	8	0	1	0	32	4	1	1	1	3	1	0	0	2	3	1	1	5	1	0	0	1	4	3	1	1	4	5	1	1	2	7	0	0	0	0	1	10	0	1	1	4	3	1	34	1	1	0	0	2	0	2	2	0	16	2	5	4	0	0	135	2	0	2	2	2	0	0	1	0	1	0	0	2	5	0	0	0	0	21	17	0	0	1	0	0	14	0	111	0	0	0	0	2	1	2	0	5	0	3	0	2	4	0	2	2	3	126	0	1	1	1	1	12	15	6	0	0	2	2	0	205	2	1	2	1	1	0	2	4	12	0	0	2	0	0	0	3	2	0	0	3	2	0	4	5	1	1	39	1	0	0	1	0	1	1	2
A[Ins(C):R0]T	0	0	0	0	0	0	0	0	2	3	1	240	0	1	2	2	0	0	0	0	5	1	1	0	1	1	0	0	0	16	0	0	0	0	0	1	0	0	0	0	0	0	1	6	0	1	1	1	1	0	7	0	0	1	2	0	78	0	0	1	0	0	6	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	4	0	1	1	0	0	0	0	0	97	8	0	6	2	0	0	0	1	10	0	0	6	4	1	19	0	2	0	2	1	0	0	0	0	0	0	2	0	5	1	0	0	0	1	0	2	0	1	1	0	4	0	1	0	1	2	0	3	0	0	1	0	0	6	1	0	1	1	1	0	0	38	2	2	2	0	0	1	0	0	1	2	1	0	1	2	0	0	0	0	0	8	1	2	0	7	0	0	7	1	1	0	10	1	2	0	1	0	1	0	0	3	1	1	1	3	3	0	0	1	0	7	0	1	0	1	0	1	0	1	0	0	0	1	0	4	0	0	2	4	1	0	19	0	0	0	0	1	1	0	0	0	0	0	5	6	0	1	93	1	0	0	0	0	1	0	0	1	0	0	0	0	7	1	0	0	0	21	14	0	1	0	0	0	3	0	83	1	0	1	0	0	1	0	0	5	0	0	0	1	10	0	1	1	0	94	1	0	0	0	1	4	4	2	0	1	1	2	0	115	1	0	0	0	0	0	0	2	0	1	3	1	1	0	2	1	1	0	0	1	0	1	0	2	0	0	16	1	0	0	0	1	0	0	0
Ins(C):R(0,3)	26	7	4	6	4	3	4	3	7	59	13	58	9	16	6	16	23	13	4	5	78	10	6	5	13	12	8	8	22	153	4	5	6	4	3	11	5	4	7	7	7	5	15	21	9	9	6	4	9	13	202	6	10	5	20	12	43	8	4	9	6	6	18	16	7	6	10	7	9	22	2	4	6	13	8	8	7	3	99	12	5	4	55	3	4	0	7	57	16	7	28	34	11	4	19	5	92	2	1	91	10	20	36	15	55	6	28	55	5	9	6	4	3	12	9	8	33	19	6	7	8	10	13	46	5	21	3	11	17	10	8	19	14	6	5	10	7	7	15	6	3	15	16	2	7	8	7	5	13	31	11	16	6	2	9	16	5	4	9	7	12	4	8	19	12	4	3	8	1	41	24	5	3	174	7	6	62	6	8	4	15	13	13	8	7	12	1	4	8	33	8	16	9	19	11	48	4	5	136	89	6	21	8	11	11	6	6	11	9	11	4	4	7	7	3	0	38	73	10	6	17	3	8	9	10	8	9	5	6	0	73	10	17	34	2	8	53	2	8	7	8	14	7	4	5	3	7	6	12	12	16	7	3	6	21	18	12	7	2	2	3	5	10	5	48	13	2	7	6	15	12	2	3	88	7	11	5	7	118	7	5	5	7	41	2	10	16	18	8	15	26	21	4	4	7	13	3	58	12	4	8	7	5	206	7	17	11	46	23	17	5	4	5	5	15	3	4	4	10	10	13	46	14	17	21	11	7	6	11	7	9	8	9
Ins(C):R(4,6)	7	2	1	1	0	1	2	3	9	34	9	10	4	1	3	4	17	49	5	7	708	9	6	1	10	4	3	7	7	203	2	3	3	1	1	7	3	4	5	3	2	3	2	17	1	2	3	2	3	12	103	0	3	1	6	1	14	1	3	3	1	0	13	5	11	4	5	6	4	5	1	6	2	7	2	5	4	3	61	6	0	2	29	5	2	0	2	15	6	2	10	11	4	1	2	3	53	1	1	41	8	11	10	7	27	0	17	35	3	7	1	4	4	6	6	3	29	14	4	3	3	2	1	22	1	19	2	7	5	1	8	6	11	2	1	12	5	1	5	3	1	3	3	1	7	2	6	1	5	18	6	6	0	3	0	23	3	1	1	6	10	3	6	5	3	1	2	4	1	26	13	2	1	94	2	3	34	3	3	3	8	6	5	2	6	5	0	1	7	28	1	6	4	10	3	8	2	2	31	58	3	4	4	5	5	4	3	12	5	3	1	0	7	7	2	1	19	56	4	2	8	3	3	5	4	3	8	0	2	3	309	2	8	17	0	1	12	1	3	2	2	5	6	2	1	2	1	0	3	16	5	2	1	2	6	11	11	4	0	1	2	0	13	2	4	4	0	6	1	3	1	1	3	53	1	8	1	3	91	0	2	2	4	10	3	8	7	7	0	4	15	20	1	0	2	10	2	6	4	2	1	1	4	41	4	8	3	21	26	9	1	2	0	2	8	0	0	3	6	2	10	190	5	8	14	8	4	0	10	0	3	3	5
Ins(C):R(7,)	15	0	0	1	0	0	2	0	10	6	11	13	5	0	4	5	21	48	1	3	470	18	10	8	3	1	1	9	11	310	4	0	1	3	0	10	0	2	6	1	0	10	2	17	1	1	0	1	5	9	6	1	4	4	8	1	25	2	0	1	2	0	32	18	7	1	1	3	1	2	0	1	2	9	2	5	3	0	7	8	1	2	7	1	1	1	1	23	5	1	7	13	8	1	3	2	11	1	1	14	14	1	12	7	14	1	6	12	0	3	2	0	6	2	5	2	6	29	0	2	2	5	1	11	3	34	1	8	3	1	7	3	17	4	1	13	8	7	6	0	1	15	10	0	4	5	2	0	8	18	16	19	2	1	1	22	6	0	4	3	10	0	10	18	4	2	1	1	2	3	35	0	0	6	2	3	11	0	8	1	15	10	4	0	11	14	0	0	5	9	2	4	7	6	4	10	1	3	27	7	3	0	3	5	4	6	8	11	3	6	3	0	16	6	0	1	2	9	12	1	10	8	3	10	3	2	6	1	1	1	303	3	21	7	1	0	20	0	1	1	3	7	3	3	2	0	0	0	0	12	8	3	0	1	0	17	18	4	2	1	2	0	8	0	9	6	2	4	0	0	1	2	1	6	0	3	1	6	33	0	5	2	9	15	0	8	7	8	0	9	25	8	1	1	5	23	1	15	16	0	3	1	2	0	1	0	9	17	6	3	4	2	2	3	9	0	0	20	14	1	10	225	13	17	11	12	5	0	4	0	1	7	8
